request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 1.359135, 0.022652
60, 780, 1.400015, 0.023334
60, 780, 1.524152, 0.025403
60, 780, 1.532295, 0.025538
60, 780, 1.524658, 0.025411
60, 780, 1.533815, 0.025564
60, 780, 1.535287, 0.025588
60, 780, 1.534438, 0.025574
60, 780, 1.535675, 0.025595
60, 780, 1.530676, 0.025511
60, 780, 1.539619, 0.025660
60, 780, 1.515877, 0.025265
60, 780, 1.549010, 0.025817
60, 780, 1.548856, 0.025814
60, 780, 1.558324, 0.025972
60, 780, 1.573959, 0.026233
60, 780, 1.599398, 0.026657
60, 780, 1.598997, 0.026650
60, 780, 1.599298, 0.026655
60, 780, 1.601443, 0.026691
60, 780, 1.607971, 0.026800
60, 780, 1.573200, 0.026220
60, 780, 1.609153, 0.026819
60, 780, 1.550000, 0.025833
60, 780, 1.559114, 0.025985
60, 780, 1.624424, 0.027074
60, 780, 1.604904, 0.026748
60, 780, 1.623405, 0.027057
60, 780, 1.633106, 0.027218
60, 780, 1.637140, 0.027286
60, 780, 1.599025, 0.026650
60, 780, 1.586494, 0.026442
60, 780, 1.586480, 0.026441
60, 780, 1.644652, 0.027411
60, 780, 1.599340, 0.026656
60, 780, 1.529806, 0.025497
60, 780, 1.619656, 0.026994
60, 780, 1.619552, 0.026993
60, 780, 1.643997, 0.027400
60, 780, 1.588039, 0.026467
60, 780, 1.587118, 0.026452
60, 780, 1.646173, 0.027436
60, 780, 1.609266, 0.026821
60, 780, 1.597527, 0.026625
60, 780, 1.628695, 0.027145
60, 780, 1.646785, 0.027446
60, 780, 1.628621, 0.027144
60, 780, 1.647441, 0.027457
60, 780, 1.655385, 0.027590
60, 780, 1.628394, 0.027140
60, 780, 1.668969, 0.027816
60, 780, 1.652283, 0.027538
60, 780, 1.668617, 0.027810
60, 780, 1.614830, 0.026914
60, 780, 1.669372, 0.027823
60, 780, 1.653684, 0.027561
60, 780, 1.557572, 0.025960
60, 780, 1.672563, 0.027876
60, 780, 1.612769, 0.026879
60, 780, 1.646330, 0.027439
60, 780, 1.473125, 0.024552
60, 780, 1.646753, 0.027446
60, 780, 1.654722, 0.027579
60, 780, 1.601084, 0.026685
60, 780, 1.635363, 0.027256
60, 780, 1.614170, 0.026903
60, 780, 1.613532, 0.026892
60, 780, 1.670544, 0.027842
60, 780, 1.671501, 0.027858
60, 780, 1.656586, 0.027610
60, 780, 1.615422, 0.026924
60, 780, 1.646438, 0.027441
60, 780, 1.557643, 0.025961
60, 780, 1.672594, 0.027877
60, 780, 1.558185, 0.025970
60, 780, 1.637374, 0.027290
60, 780, 1.614769, 0.026913
60, 780, 1.651866, 0.027531
60, 780, 1.630093, 0.027168
60, 780, 1.556953, 0.025949
60, 780, 1.655884, 0.027598
60, 780, 1.673046, 0.027884
60, 780, 1.666923, 0.027782
60, 780, 1.623341, 0.027056
60, 780, 1.680412, 0.028007
60, 780, 1.520796, 0.025347
60, 780, 1.615222, 0.026920
60, 780, 1.684186, 0.028070
60, 780, 1.627447, 0.027124
60, 780, 1.572963, 0.026216
60, 780, 1.657439, 0.027624
60, 780, 1.692928, 0.028215
60, 780, 1.579307, 0.026322
60, 780, 1.690359, 0.028173
60, 780, 1.771930, 0.029532
60, 780, 1.692522, 0.028209
60, 780, 1.770404, 0.029507
60, 780, 1.779239, 0.029654
60, 780, 1.780636, 0.029677
60, 780, 1.788438, 0.029807
60, 780, 1.783900, 0.029732
60, 780, 1.812262, 0.030204
60, 780, 1.809587, 0.030160
60, 780, 1.784597, 0.029743
60, 780, 1.763206, 0.029387
60, 780, 1.830196, 0.030503
60, 780, 1.765553, 0.029426
60, 780, 1.815319, 0.030255
60, 780, 1.831975, 0.030533
60, 780, 1.813981, 0.030233
60, 780, 1.779976, 0.029666
60, 780, 1.655323, 0.027589
60, 780, 1.812766, 0.030213
60, 780, 1.823498, 0.030392
60, 780, 1.725047, 0.028751
60, 780, 1.727217, 0.028787
60, 780, 1.802439, 0.030041
60, 780, 1.710233, 0.028504
60, 780, 1.838937, 0.030649
60, 780, 1.815306, 0.030255
60, 780, 1.803422, 0.030057
60, 780, 1.796678, 0.029945
60, 780, 1.725448, 0.028757
60, 780, 1.840048, 0.030667
60, 780, 1.772833, 0.029547
60, 780, 1.840324, 0.030672
60, 780, 1.808362, 0.030139
60, 780, 1.833855, 0.030564
60, 780, 1.829004, 0.030483
60, 780, 1.726447, 0.028774
60, 780, 1.828989, 0.030483
60, 780, 1.655743, 0.027596
60, 780, 1.823905, 0.030398
60, 780, 1.829614, 0.030494
60, 780, 1.795895, 0.029932
60, 780, 1.657982, 0.027633
60, 780, 1.740557, 0.029009
60, 780, 1.819478, 0.030325
60, 780, 1.786817, 0.029780
60, 780, 1.837692, 0.030628
60, 780, 1.737897, 0.028965
60, 780, 1.820901, 0.030348
60, 780, 1.701944, 0.028366
60, 780, 1.852678, 0.030878
60, 780, 1.823442, 0.030391
60, 780, 1.704746, 0.028412
60, 780, 1.848308, 0.030805
60, 780, 1.833016, 0.030550
60, 780, 1.861404, 0.031023
60, 780, 1.796357, 0.029939
60, 780, 1.803374, 0.030056
60, 780, 1.668888, 0.027815
60, 780, 1.750827, 0.029180
60, 780, 1.759392, 0.029323
60, 780, 1.758895, 0.029315
60, 780, 1.759144, 0.029319
60, 780, 1.759565, 0.029326
60, 780, 1.856927, 0.030949
60, 780, 1.847202, 0.030787
60, 780, 1.713400, 0.028557
60, 780, 1.745764, 0.029096
60, 780, 1.847847, 0.030797
60, 780, 1.744960, 0.029083
60, 780, 1.837002, 0.030617
60, 780, 1.677481, 0.027958
60, 780, 1.815516, 0.030259
60, 780, 1.743172, 0.029053
60, 780, 1.848228, 0.030804
60, 780, 1.844208, 0.030737
60, 780, 1.848291, 0.030805
60, 780, 1.760893, 0.029348
60, 780, 1.761654, 0.029361
60, 780, 1.848507, 0.030808
60, 780, 1.830501, 0.030508
60, 780, 1.718043, 0.028634
60, 780, 1.866915, 0.031115
60, 780, 1.770768, 0.029513
60, 780, 1.761757, 0.029363
60, 780, 1.759552, 0.029326
60, 780, 1.760169, 0.029336
60, 780, 1.690466, 0.028174
60, 780, 1.874035, 0.031234
60, 780, 1.744858, 0.029081
60, 780, 1.875316, 0.031255
60, 780, 1.831334, 0.030522
60, 780, 1.847399, 0.030790
60, 780, 1.816404, 0.030273
60, 780, 1.806597, 0.030110
60, 780, 1.715798, 0.028597
60, 780, 1.758963, 0.029316
60, 780, 1.776848, 0.029614
60, 780, 1.766690, 0.029445
60, 780, 1.750639, 0.029177
60, 780, 1.850904, 0.030848
60, 780, 1.828561, 0.030476
60, 780, 1.690482, 0.028175
60, 780, 1.841861, 0.030698
60, 780, 1.842971, 0.030716
60, 780, 1.773392, 0.029557
60, 780, 1.860387, 0.031006
60, 780, 1.821729, 0.030362
60, 780, 1.834115, 0.030569
60, 780, 1.896000, 0.031600
60, 780, 1.719015, 0.028650
60, 780, 1.708761, 0.028479
60, 780, 1.805349, 0.030089
60, 780, 1.777322, 0.029622
60, 780, 1.905079, 0.031751
60, 780, 1.645642, 0.027427
60, 780, 1.868997, 0.031150
60, 780, 1.869220, 0.031154
60, 780, 1.886163, 0.031436
60, 780, 1.717575, 0.028626
60, 780, 1.708071, 0.028468
60, 780, 1.881266, 0.031354
60, 780, 1.892287, 0.031538
60, 780, 1.905069, 0.031751
60, 780, 1.719643, 0.028661
60, 780, 1.642105, 0.027368
60, 780, 1.862354, 0.031039
60, 780, 1.792001, 0.029867
60, 780, 1.887648, 0.031461
60, 780, 1.792155, 0.029869
60, 780, 1.762924, 0.029382
60, 780, 1.778779, 0.029646
60, 780, 1.748066, 0.029134
60, 780, 1.898509, 0.031642
60, 780, 1.798920, 0.029982
60, 780, 1.845160, 0.030753
60, 780, 1.796497, 0.029942
60, 780, 1.785851, 0.029764
60, 780, 1.712084, 0.028535
60, 780, 1.784465, 0.029741
60, 780, 1.876676, 0.031278
60, 780, 1.784576, 0.029743
60, 780, 1.880377, 0.031340
60, 780, 1.854392, 0.030907
60, 780, 1.747728, 0.029129
60, 780, 1.658959, 0.027649
60, 780, 1.899071, 0.031651
60, 780, 1.803276, 0.030055
60, 780, 1.891810, 0.031530
60, 780, 1.757143, 0.029286
60, 780, 1.880748, 0.031346
60, 780, 1.885251, 0.031421
60, 780, 1.803887, 0.030065
60, 780, 1.872681, 0.031211
60, 780, 1.802532, 0.030042
60, 780, 1.917583, 0.031960
60, 780, 1.910622, 0.031844
60, 780, 1.756441, 0.029274
60, 780, 1.722803, 0.028713
60, 780, 1.718289, 0.028638
60, 780, 1.722578, 0.028710
60, 780, 1.909091, 0.031818
60, 780, 1.772706, 0.029545
60, 780, 1.881234, 0.031354
60, 780, 1.880096, 0.031335
60, 780, 1.802870, 0.030048
60, 780, 1.915131, 0.031919
60, 780, 1.719730, 0.028662
