request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 29.883810, 0.498063
60, 780, 26.767391, 0.446123
60, 780, 31.787933, 0.529799
60, 780, 31.536602, 0.525610
60, 780, 33.431435, 0.557191
60, 780, 32.093307, 0.534888
60, 780, 32.351040, 0.539184
60, 780, 32.746872, 0.545781
60, 780, 33.995693, 0.566595
60, 780, 34.426785, 0.573780
60, 780, 34.307961, 0.571799
60, 780, 34.662136, 0.577702
60, 780, 34.636673, 0.577278
60, 780, 34.916435, 0.581941
60, 780, 34.373497, 0.572892
60, 780, 34.941059, 0.582351
60, 780, 33.966862, 0.566114
60, 780, 35.352615, 0.589210
60, 780, 35.535072, 0.592251
60, 780, 35.610359, 0.593506
60, 780, 34.955204, 0.582587
60, 780, 33.207645, 0.553461
60, 780, 33.116936, 0.551949
60, 780, 36.225338, 0.603756
60, 780, 33.589798, 0.559830
60, 780, 35.742523, 0.595709
60, 780, 36.395576, 0.606593
60, 780, 36.211311, 0.603522
60, 780, 36.175213, 0.602920
60, 780, 36.403881, 0.606731
60, 780, 35.133427, 0.585557
60, 780, 36.279896, 0.604665
60, 780, 36.411674, 0.606861
60, 780, 35.381336, 0.589689
60, 780, 36.242134, 0.604035
60, 780, 34.762215, 0.579370
60, 780, 35.947876, 0.599131
60, 780, 34.558968, 0.575983
60, 780, 34.430752, 0.573846
60, 780, 35.017307, 0.583622
60, 780, 36.799709, 0.613329
60, 780, 36.572826, 0.609547
60, 780, 36.538582, 0.608976
60, 780, 34.594830, 0.576580
60, 780, 36.962841, 0.616047
60, 780, 36.394215, 0.606570
60, 780, 36.497044, 0.608284
60, 780, 36.498924, 0.608315
60, 780, 37.109859, 0.618498
60, 780, 36.948399, 0.615807
60, 780, 32.496777, 0.541613
60, 780, 36.721512, 0.612025
60, 780, 37.274281, 0.621238
60, 780, 35.142933, 0.585716
60, 780, 37.595955, 0.626599
60, 780, 33.671391, 0.561190
60, 780, 35.036709, 0.583945
60, 780, 36.144726, 0.602412
60, 780, 35.862267, 0.597704
60, 780, 37.362202, 0.622703
60, 780, 37.459553, 0.624326
60, 780, 37.463596, 0.624393
60, 780, 37.651707, 0.627528
60, 780, 36.733547, 0.612226
60, 780, 35.859974, 0.597666
60, 780, 36.884880, 0.614748
60, 780, 37.756767, 0.629279
60, 780, 32.849369, 0.547489
60, 780, 35.292053, 0.588201
60, 780, 37.853901, 0.630898
60, 780, 36.198948, 0.603316
60, 780, 35.856068, 0.597601
60, 780, 36.036846, 0.600614
60, 780, 37.963398, 0.632723
60, 780, 37.750771, 0.629180
60, 780, 36.808201, 0.613470
60, 780, 33.456299, 0.557605
60, 780, 36.439465, 0.607324
60, 780, 36.155800, 0.602597
60, 780, 37.783295, 0.629722
60, 780, 37.859203, 0.630987
60, 780, 37.866531, 0.631109
60, 780, 37.616688, 0.626945
60, 780, 38.281120, 0.638019
60, 780, 36.918461, 0.615308
60, 780, 37.458317, 0.624305
60, 780, 37.823669, 0.630395
60, 780, 37.526077, 0.625435
60, 780, 38.395794, 0.639930
60, 780, 37.482018, 0.624700
60, 780, 36.519249, 0.608654
60, 780, 38.091167, 0.634853
60, 780, 38.445438, 0.640757
60, 780, 38.204918, 0.636749
60, 780, 36.285809, 0.604763
60, 780, 38.301155, 0.638353
60, 780, 36.659775, 0.610996
60, 780, 35.273655, 0.587894
60, 780, 38.709152, 0.645153
60, 780, 38.594944, 0.643249
60, 780, 34.134087, 0.568901
60, 780, 36.575245, 0.609587
60, 780, 38.270107, 0.637835
60, 780, 38.816921, 0.646949
60, 780, 36.255207, 0.604253
60, 780, 36.838657, 0.613978
60, 780, 38.721279, 0.645355
60, 780, 36.932610, 0.615543
60, 780, 38.185181, 0.636420
60, 780, 38.614880, 0.643581
60, 780, 38.097076, 0.634951
60, 780, 34.596127, 0.576602
60, 780, 38.603642, 0.643394
60, 780, 34.886475, 0.581441
60, 780, 38.860897, 0.647682
60, 780, 37.451599, 0.624193
60, 780, 37.121349, 0.618689
60, 780, 34.345734, 0.572429
60, 780, 38.975605, 0.649593
60, 780, 38.022091, 0.633702
60, 780, 38.973022, 0.649550
60, 780, 38.853638, 0.647561
60, 780, 38.632030, 0.643867
60, 780, 38.997574, 0.649960
60, 780, 37.631561, 0.627193
60, 780, 39.213375, 0.653556
60, 780, 38.333702, 0.638895
60, 780, 34.195633, 0.569927
60, 780, 38.844810, 0.647413
60, 780, 38.949829, 0.649164
60, 780, 36.570457, 0.609508
60, 780, 36.827332, 0.613789
60, 780, 39.079136, 0.651319
60, 780, 37.499134, 0.624986
60, 780, 38.699471, 0.644991
60, 780, 39.244396, 0.654073
60, 780, 39.153652, 0.652561
60, 780, 36.577415, 0.609624
60, 780, 38.507355, 0.641789
60, 780, 38.808411, 0.646807
60, 780, 36.361801, 0.606030
60, 780, 36.947426, 0.615790
60, 780, 39.091942, 0.651532
60, 780, 38.582230, 0.643037
60, 780, 39.478565, 0.657976
60, 780, 39.467216, 0.657787
60, 780, 35.418362, 0.590306
60, 780, 39.039623, 0.650660
60, 780, 39.442055, 0.657368
60, 780, 39.105865, 0.651764
60, 780, 38.400188, 0.640003
60, 780, 35.078438, 0.584641
60, 780, 39.522575, 0.658710
60, 780, 34.525303, 0.575422
60, 780, 39.551205, 0.659187
60, 780, 39.621567, 0.660359
60, 780, 39.698898, 0.661648
60, 780, 39.444645, 0.657411
60, 780, 38.864079, 0.647735
60, 780, 38.799255, 0.646654
60, 780, 39.656017, 0.660934
60, 780, 39.214386, 0.653573
60, 780, 37.373463, 0.622891
60, 780, 38.195648, 0.636594
60, 780, 39.121445, 0.652024
60, 780, 38.605934, 0.643432
60, 780, 38.945354, 0.649089
60, 780, 39.712284, 0.661871
60, 780, 39.180130, 0.653002
60, 780, 39.610447, 0.660174
60, 780, 38.976631, 0.649611
60, 780, 40.044445, 0.667407
60, 780, 39.428726, 0.657146
60, 780, 38.282410, 0.638040
60, 780, 39.448086, 0.657468
60, 780, 38.022095, 0.633702
60, 780, 40.314083, 0.671901
60, 780, 38.878380, 0.647973
60, 780, 36.443340, 0.607389
60, 780, 40.169266, 0.669488
60, 780, 39.978405, 0.666307
60, 780, 40.205074, 0.670085
60, 780, 38.151676, 0.635861
60, 780, 38.255165, 0.637586
60, 780, 39.627712, 0.660462
60, 780, 38.716408, 0.645273
60, 780, 38.032364, 0.633873
60, 780, 39.294624, 0.654910
60, 780, 40.060143, 0.667669
60, 780, 37.905457, 0.631758
60, 780, 40.617970, 0.676966
60, 780, 39.399204, 0.656653
60, 780, 40.111309, 0.668522
60, 780, 38.184166, 0.636403
60, 780, 39.021809, 0.650364
60, 780, 40.584782, 0.676413
60, 780, 38.310547, 0.638509
60, 780, 37.384922, 0.623082
60, 780, 40.583935, 0.676399
60, 780, 40.529507, 0.675492
60, 780, 40.576401, 0.676273
60, 780, 36.441856, 0.607364
60, 780, 39.621559, 0.660359
60, 780, 40.679310, 0.677988
60, 780, 40.607388, 0.676790
60, 780, 40.468487, 0.674475
60, 780, 39.614689, 0.660245
60, 780, 39.807491, 0.663458
60, 780, 40.763237, 0.679387
60, 780, 38.814552, 0.646909
60, 780, 40.118008, 0.668633
60, 780, 40.562569, 0.676043
60, 780, 38.330891, 0.638848
60, 780, 38.610424, 0.643507
60, 780, 36.927341, 0.615456
60, 780, 40.648376, 0.677473
60, 780, 40.594959, 0.676583
60, 780, 35.605450, 0.593424
60, 780, 38.067055, 0.634451
60, 780, 40.863323, 0.681055
60, 780, 38.256233, 0.637604
60, 780, 40.419392, 0.673657
60, 780, 38.128510, 0.635475
60, 780, 40.903229, 0.681720
60, 780, 40.917850, 0.681964
60, 780, 40.011875, 0.666865
60, 780, 40.622982, 0.677050
60, 780, 39.437450, 0.657291
60, 780, 38.058922, 0.634315
60, 780, 41.049393, 0.684157
60, 780, 40.788914, 0.679815
60, 780, 40.826042, 0.680434
60, 780, 38.946362, 0.649106
60, 780, 39.016308, 0.650272
60, 780, 41.000706, 0.683345
60, 780, 39.981911, 0.666365
60, 780, 39.352730, 0.655879
60, 780, 39.614922, 0.660249
60, 780, 40.590050, 0.676501
60, 780, 40.911224, 0.681854
60, 780, 39.309933, 0.655166
60, 780, 39.516987, 0.658616
60, 780, 39.088463, 0.651474
60, 780, 39.133480, 0.652225
60, 780, 38.829479, 0.647158
60, 780, 41.095959, 0.684933
60, 780, 40.027637, 0.667127
60, 780, 37.191505, 0.619858
60, 780, 38.344822, 0.639080
60, 780, 37.735909, 0.628932
60, 780, 39.556007, 0.659267
60, 780, 41.122204, 0.685370
60, 780, 39.298916, 0.654982
60, 780, 41.320271, 0.688671
60, 780, 41.274582, 0.687910
60, 780, 41.024551, 0.683743
60, 780, 40.792660, 0.679878
60, 780, 39.216381, 0.653606
60, 780, 40.713287, 0.678555
60, 780, 41.160568, 0.686009
60, 780, 40.589825, 0.676497
60, 780, 33.473038, 0.557884
60, 780, 41.338394, 0.688973
60, 780, 41.192234, 0.686537
60, 780, 41.253109, 0.687552
60, 780, 40.924431, 0.682074
60, 780, 41.232777, 0.687213
60, 780, 39.348309, 0.655805
60, 780, 40.622852, 0.677048
60, 780, 41.142578, 0.685710
60, 780, 40.544579, 0.675743
60, 780, 41.307457, 0.688458
60, 780, 39.053173, 0.650886
60, 780, 40.962128, 0.682702
60, 780, 41.297176, 0.688286
60, 780, 41.357517, 0.689292
60, 780, 41.231083, 0.687185
