request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 14.429499, 0.240492
60, 780, 15.051603, 0.250860
60, 780, 15.338393, 0.255640
60, 780, 15.477911, 0.257965
60, 780, 15.607837, 0.260131
60, 780, 15.612034, 0.260201
60, 780, 14.990581, 0.249843
60, 780, 15.494418, 0.258240
60, 780, 15.706377, 0.261773
60, 780, 15.532393, 0.258873
60, 780, 15.956656, 0.265944
60, 780, 15.987878, 0.266465
60, 780, 16.124561, 0.268743
60, 780, 16.250320, 0.270839
60, 780, 16.260637, 0.271011
60, 780, 16.254574, 0.270910
60, 780, 16.309570, 0.271826
60, 780, 16.057480, 0.267625
60, 780, 16.435812, 0.273930
60, 780, 16.106504, 0.268442
60, 780, 16.240742, 0.270679
60, 780, 16.421993, 0.273700
60, 780, 16.497658, 0.274961
60, 780, 16.340948, 0.272349
60, 780, 16.520092, 0.275335
60, 780, 16.663069, 0.277718
60, 780, 16.579285, 0.276321
60, 780, 16.288353, 0.271473
60, 780, 16.563416, 0.276057
60, 780, 16.710197, 0.278503
60, 780, 16.699808, 0.278330
60, 780, 16.717508, 0.278625
60, 780, 16.594748, 0.276579
60, 780, 16.409874, 0.273498
60, 780, 16.727453, 0.278791
60, 780, 16.613543, 0.276892
60, 780, 16.229364, 0.270489
60, 780, 16.583746, 0.276396
60, 780, 16.645956, 0.277433
60, 780, 16.635382, 0.277256
60, 780, 16.840712, 0.280679
60, 780, 16.703873, 0.278398
60, 780, 16.769760, 0.279496
60, 780, 16.467245, 0.274454
60, 780, 16.683649, 0.278061
60, 780, 16.477999, 0.274633
60, 780, 16.903288, 0.281721
60, 780, 16.800323, 0.280005
60, 780, 16.433346, 0.273889
60, 780, 16.936342, 0.282272
60, 780, 16.504625, 0.275077
60, 780, 16.671627, 0.277860
60, 780, 16.921318, 0.282022
60, 780, 17.059061, 0.284318
60, 780, 16.261055, 0.271018
60, 780, 17.049622, 0.284160
60, 780, 16.560326, 0.276005
60, 780, 17.038967, 0.283983
60, 780, 16.926914, 0.282115
60, 780, 16.971344, 0.282856
60, 780, 16.784969, 0.279749
60, 780, 17.173304, 0.286222
60, 780, 16.753517, 0.279225
60, 780, 17.007179, 0.283453
60, 780, 17.040041, 0.284001
60, 780, 16.959196, 0.282653
60, 780, 16.666437, 0.277774
60, 780, 17.108660, 0.285144
60, 780, 16.722527, 0.278709
60, 780, 17.042620, 0.284044
60, 780, 16.754953, 0.279249
60, 780, 17.144497, 0.285742
60, 780, 16.758137, 0.279302
60, 780, 16.781385, 0.279690
60, 780, 17.128128, 0.285469
60, 780, 17.167208, 0.286120
60, 780, 17.247768, 0.287463
60, 780, 17.165663, 0.286094
60, 780, 17.233610, 0.287227
60, 780, 16.915524, 0.281925
60, 780, 17.304876, 0.288415
60, 780, 17.239964, 0.287333
60, 780, 17.315241, 0.288587
60, 780, 17.033432, 0.283891
60, 780, 17.287638, 0.288127
60, 780, 17.209070, 0.286818
60, 780, 16.822538, 0.280376
60, 780, 16.960251, 0.282671
60, 780, 17.357777, 0.289296
60, 780, 17.039003, 0.283983
60, 780, 17.070196, 0.284503
60, 780, 17.457870, 0.290965
60, 780, 17.312071, 0.288535
60, 780, 17.058910, 0.284315
60, 780, 17.446205, 0.290770
60, 780, 17.281439, 0.288024
60, 780, 17.272095, 0.287868
60, 780, 17.015728, 0.283595
60, 780, 17.505884, 0.291765
60, 780, 17.439545, 0.290659
60, 780, 17.141010, 0.285683
60, 780, 17.537624, 0.292294
60, 780, 17.137512, 0.285625
60, 780, 17.449476, 0.290825
60, 780, 17.497810, 0.291630
60, 780, 17.305025, 0.288417
60, 780, 17.579964, 0.292999
60, 780, 17.316717, 0.288612
60, 780, 17.191114, 0.286519
60, 780, 17.227352, 0.287123
60, 780, 17.386778, 0.289780
60, 780, 17.625578, 0.293760
60, 780, 17.487528, 0.291459
60, 780, 17.637951, 0.293966
60, 780, 17.251606, 0.287527
60, 780, 17.553463, 0.292558
60, 780, 17.341160, 0.289019
60, 780, 17.357992, 0.289300
60, 780, 17.193634, 0.286561
60, 780, 17.299503, 0.288325
60, 780, 17.642864, 0.294048
60, 780, 17.659281, 0.294321
60, 780, 17.495991, 0.291600
60, 780, 17.661448, 0.294357
60, 780, 17.251175, 0.287520
60, 780, 17.686201, 0.294770
