request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 21.842426, 0.364040
60, 780, 21.913666, 0.365228
60, 780, 22.008461, 0.366808
60, 780, 22.089651, 0.368161
60, 780, 21.901239, 0.365021
60, 780, 22.280090, 0.371335
60, 780, 21.978718, 0.366312
60, 780, 21.935364, 0.365589
60, 780, 22.006151, 0.366769
60, 780, 22.266048, 0.371101
60, 780, 22.008497, 0.366808
60, 780, 22.003376, 0.366723
60, 780, 21.953613, 0.365894
60, 780, 21.881590, 0.364693
60, 780, 21.995050, 0.366584
60, 780, 21.982346, 0.366372
60, 780, 21.868782, 0.364480
60, 780, 21.996647, 0.366611
60, 780, 21.923605, 0.365393
60, 780, 21.978207, 0.366303
60, 780, 21.927679, 0.365461
60, 780, 21.862301, 0.364372
60, 780, 21.972349, 0.366206
60, 780, 21.930742, 0.365512
60, 780, 21.999287, 0.366655
60, 780, 21.961887, 0.366031
60, 780, 22.004324, 0.366739
60, 780, 22.304934, 0.371749
60, 780, 22.140415, 0.369007
60, 780, 22.120932, 0.368682
60, 780, 22.152473, 0.369208
60, 780, 22.169323, 0.369489
60, 780, 22.162788, 0.369380
60, 780, 22.019169, 0.366986
60, 780, 22.125044, 0.368751
60, 780, 22.186890, 0.369781
60, 780, 22.200775, 0.370013
60, 780, 22.302158, 0.371703
60, 780, 21.996784, 0.366613
60, 780, 21.937075, 0.365618
60, 780, 21.967651, 0.366128
60, 780, 22.131180, 0.368853
60, 780, 22.172989, 0.369550
60, 780, 21.922771, 0.365380
60, 780, 22.128609, 0.368810
60, 780, 22.231142, 0.370519
60, 780, 22.245302, 0.370755
60, 780, 22.209646, 0.370161
60, 780, 22.018211, 0.366970
60, 780, 22.031351, 0.367189
60, 780, 22.115959, 0.368599
60, 780, 22.184809, 0.369747
60, 780, 22.432011, 0.373867
60, 780, 22.054941, 0.367582
60, 780, 22.284931, 0.371416
60, 780, 22.137125, 0.368952
60, 780, 22.052238, 0.367537
60, 780, 22.110382, 0.368506
60, 780, 22.390547, 0.373176
60, 780, 22.147409, 0.369123
60, 780, 22.455078, 0.374251
60, 780, 22.089302, 0.368155
60, 780, 22.145954, 0.369099
60, 780, 22.078915, 0.367982
60, 780, 22.093651, 0.368227
60, 780, 22.213936, 0.370232
60, 780, 22.151796, 0.369197
60, 780, 22.138037, 0.368967
60, 780, 22.269289, 0.371155
60, 780, 22.411001, 0.373517
60, 780, 22.348577, 0.372476
60, 780, 22.359898, 0.372665
60, 780, 22.281137, 0.371352
60, 780, 22.435555, 0.373926
60, 780, 22.328760, 0.372146
60, 780, 22.118767, 0.368646
60, 780, 22.208784, 0.370146
60, 780, 22.175739, 0.369596
60, 780, 22.214075, 0.370235
60, 780, 22.203920, 0.370065
60, 780, 22.159700, 0.369328
60, 780, 22.520622, 0.375344
60, 780, 22.194250, 0.369904
60, 780, 22.171976, 0.369533
60, 780, 22.291788, 0.371530
60, 780, 22.210236, 0.370171
60, 780, 22.344976, 0.372416
60, 780, 22.646214, 0.377437
60, 780, 22.298399, 0.371640
60, 780, 22.235170, 0.370586
60, 780, 22.310755, 0.371846
60, 780, 22.548120, 0.375802
60, 780, 22.228277, 0.370471
60, 780, 22.265007, 0.371083
60, 780, 22.419458, 0.373658
60, 780, 22.424131, 0.373736
60, 780, 22.399660, 0.373328
60, 780, 22.658871, 0.377648
60, 780, 22.354763, 0.372579
60, 780, 22.328152, 0.372136
60, 780, 22.495625, 0.374927
60, 780, 22.237469, 0.370624
60, 780, 22.307714, 0.371795
60, 780, 22.197504, 0.369958
60, 780, 22.311071, 0.371851
60, 780, 22.350971, 0.372516
60, 780, 22.473734, 0.374562
60, 780, 22.563498, 0.376058
60, 780, 22.303587, 0.371726
60, 780, 22.584408, 0.376407
60, 780, 22.685921, 0.378099
60, 780, 22.366772, 0.372780
60, 780, 22.360506, 0.372675
60, 780, 22.302624, 0.371710
60, 780, 22.398655, 0.373311
60, 780, 22.331879, 0.372198
60, 780, 22.393911, 0.373232
60, 780, 22.351631, 0.372527
60, 780, 22.266590, 0.371110
60, 780, 22.581682, 0.376361
60, 780, 22.362253, 0.372704
60, 780, 22.547407, 0.375790
60, 780, 22.386143, 0.373102
60, 780, 22.393209, 0.373220
60, 780, 22.631466, 0.377191
60, 780, 22.315145, 0.371919
60, 780, 22.350027, 0.372500
60, 780, 22.347227, 0.372454
60, 780, 22.337208, 0.372287
60, 780, 22.387548, 0.373126
60, 780, 22.475523, 0.374592
60, 780, 22.374952, 0.372916
60, 780, 22.386200, 0.373103
60, 780, 22.435133, 0.373919
60, 780, 22.644136, 0.377402
60, 780, 22.724852, 0.378748
60, 780, 22.762909, 0.379382
60, 780, 22.610090, 0.376835
60, 780, 22.461138, 0.374352
60, 780, 22.691050, 0.378184
60, 780, 22.522501, 0.375375
60, 780, 22.499689, 0.374995
60, 780, 22.494806, 0.374913
60, 780, 22.417244, 0.373621
60, 780, 22.632078, 0.377201
60, 780, 22.553188, 0.375886
60, 780, 22.675552, 0.377926
60, 780, 22.764097, 0.379402
60, 780, 22.455463, 0.374258
60, 780, 22.583469, 0.376391
60, 780, 22.662712, 0.377712
60, 780, 22.656172, 0.377603
60, 780, 22.693615, 0.378227
60, 780, 22.694971, 0.378250
60, 780, 22.503611, 0.375060
60, 780, 22.484612, 0.374744
60, 780, 22.579664, 0.376328
60, 780, 22.655991, 0.377600
