request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 46.415180, 0.773586
60, 780, 49.830090, 0.830501
60, 780, 46.245987, 0.770766
60, 780, 57.085960, 0.951433
60, 780, 58.391834, 0.973197
60, 780, 58.575920, 0.976265
60, 780, 58.368504, 0.972808
60, 780, 59.787296, 0.996455
60, 780, 60.107918, 1.001799
60, 780, 58.414230, 0.973571
60, 780, 53.989429, 0.899824
60, 780, 61.107937, 1.018466
60, 780, 60.342869, 1.005715
60, 780, 59.556278, 0.992605
60, 780, 60.471909, 1.007865
60, 780, 62.275368, 1.037923
60, 780, 62.156281, 1.035938
60, 780, 62.652714, 1.044212
60, 780, 53.962543, 0.899376
60, 780, 62.724117, 1.045402
60, 780, 61.264885, 1.021081
60, 780, 62.836166, 1.047269
60, 780, 62.927830, 1.048797
60, 780, 63.410103, 1.056835
60, 780, 63.292267, 1.054871
60, 780, 63.765919, 1.062765
60, 780, 61.667980, 1.027800
60, 780, 63.549885, 1.059165
60, 780, 56.922729, 0.948712
60, 780, 53.042900, 0.884048
60, 780, 63.617626, 1.060294
60, 780, 58.930248, 0.982171
60, 780, 64.726295, 1.078772
60, 780, 57.210682, 0.953511
60, 780, 64.321762, 1.072029
60, 780, 62.857841, 1.047631
60, 780, 56.186108, 0.936435
60, 780, 60.895836, 1.014931
60, 780, 61.223930, 1.020399
60, 780, 59.771229, 0.996187
60, 780, 64.561470, 1.076024
60, 780, 57.567539, 0.959459
60, 780, 64.111122, 1.068519
60, 780, 60.014732, 1.000245
60, 780, 57.875881, 0.964598
60, 780, 66.172867, 1.102881
60, 780, 66.531281, 1.108855
60, 780, 54.472778, 0.907880
60, 780, 58.139030, 0.968984
60, 780, 64.282013, 1.071367
60, 780, 64.880829, 1.081347
60, 780, 63.028049, 1.050467
60, 780, 67.288490, 1.121475
60, 780, 67.508789, 1.125147
60, 780, 61.541363, 1.025689
60, 780, 56.609734, 0.943496
60, 780, 66.648918, 1.110815
60, 780, 65.894531, 1.098242
60, 780, 66.885559, 1.114759
60, 780, 65.376427, 1.089607
60, 780, 68.513680, 1.141895
60, 780, 67.945610, 1.132427
60, 780, 66.963707, 1.116062
60, 780, 64.526939, 1.075449
60, 780, 63.028206, 1.050470
60, 780, 68.199234, 1.136654
60, 780, 68.502151, 1.141703
60, 780, 68.513565, 1.141893
60, 780, 66.236076, 1.103935
60, 780, 69.082733, 1.151379
60, 780, 69.126564, 1.152109
60, 780, 67.368843, 1.122814
60, 780, 64.093254, 1.068221
60, 780, 69.285591, 1.154760
60, 780, 65.612503, 1.093542
60, 780, 60.061096, 1.001018
60, 780, 69.148521, 1.152475
60, 780, 62.421303, 1.040355
60, 780, 66.709229, 1.111820
60, 780, 69.153671, 1.152561
60, 780, 70.037651, 1.167294
60, 780, 66.996292, 1.116605
60, 780, 69.146675, 1.152445
60, 780, 70.080292, 1.168005
60, 780, 69.767029, 1.162784
60, 780, 68.180511, 1.136342
60, 780, 56.109390, 0.935157
60, 780, 70.230949, 1.170516
60, 780, 62.691063, 1.044851
60, 780, 69.949654, 1.165828
60, 780, 64.247444, 1.070791
60, 780, 69.886002, 1.164767
60, 780, 70.100250, 1.168337
60, 780, 67.549957, 1.125833
60, 780, 69.085541, 1.151426
60, 780, 63.760838, 1.062681
60, 780, 66.502258, 1.108371
60, 780, 70.941788, 1.182363
60, 780, 70.758934, 1.179316
60, 780, 62.693165, 1.044886
60, 780, 70.713509, 1.178558
60, 780, 67.042252, 1.117371
60, 780, 70.686867, 1.178114
60, 780, 63.582035, 1.059701
60, 780, 70.819168, 1.180319
60, 780, 69.767181, 1.162786
60, 780, 60.212326, 1.003539
60, 780, 71.214653, 1.186911
60, 780, 70.949913, 1.182499
60, 780, 68.945030, 1.149084
60, 780, 66.096428, 1.101607
60, 780, 71.513023, 1.191884
60, 780, 69.402733, 1.156712
60, 780, 71.187622, 1.186460
60, 780, 71.479851, 1.191331
60, 780, 71.187744, 1.186462
60, 780, 70.547256, 1.175788
60, 780, 64.306511, 1.071775
60, 780, 71.169830, 1.186164
60, 780, 70.977684, 1.182961
60, 780, 68.714508, 1.145242
60, 780, 62.041416, 1.034024
60, 780, 71.835632, 1.197260
60, 780, 70.961922, 1.182699
60, 780, 66.794563, 1.113243
60, 780, 71.588158, 1.193136
60, 780, 65.053612, 1.084227
60, 780, 71.215538, 1.186926
60, 780, 65.340637, 1.089011
60, 780, 71.571739, 1.192862
60, 780, 70.348267, 1.172471
60, 780, 60.733715, 1.012228
60, 780, 72.517776, 1.208630
60, 780, 72.527885, 1.208798
60, 780, 69.459038, 1.157651
60, 780, 68.456383, 1.140940
60, 780, 72.654495, 1.210908
60, 780, 71.297264, 1.188288
60, 780, 70.468170, 1.174469
60, 780, 72.455124, 1.207585
60, 780, 69.053978, 1.150900
60, 780, 71.833313, 1.197222
60, 780, 67.116776, 1.118613
60, 780, 63.357002, 1.055950
60, 780, 61.901772, 1.031696
60, 780, 70.862129, 1.181035
60, 780, 65.252632, 1.087544
60, 780, 70.728088, 1.178802
60, 780, 73.354088, 1.222568
60, 780, 72.735138, 1.212252
60, 780, 69.397774, 1.156630
60, 780, 71.325989, 1.188766
60, 780, 73.101372, 1.218356
60, 780, 72.875450, 1.214591
60, 780, 73.158417, 1.219307
60, 780, 65.859146, 1.097652
60, 780, 71.836670, 1.197278
60, 780, 67.931602, 1.132193
60, 780, 73.439651, 1.223994
60, 780, 68.188255, 1.136471
60, 780, 73.409325, 1.223489
