request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 2.606923, 0.043449
60, 780, 2.831678, 0.047195
60, 780, 2.918559, 0.048643
60, 780, 2.919745, 0.048662
60, 780, 2.898062, 0.048301
60, 780, 2.885782, 0.048096
60, 780, 2.945672, 0.049095
60, 780, 2.930532, 0.048842
60, 780, 2.974273, 0.049571
60, 780, 2.985436, 0.049757
60, 780, 2.865471, 0.047758
60, 780, 2.990500, 0.049842
60, 780, 2.976905, 0.049615
60, 780, 3.010782, 0.050180
60, 780, 2.981714, 0.049695
60, 780, 3.016147, 0.050269
60, 780, 3.033562, 0.050559
60, 780, 3.034416, 0.050574
60, 780, 3.034154, 0.050569
60, 780, 3.018217, 0.050304
60, 780, 2.908007, 0.048467
60, 780, 3.030907, 0.050515
60, 780, 2.937394, 0.048957
60, 780, 3.043108, 0.050718
60, 780, 3.050780, 0.050846
60, 780, 3.042697, 0.050712
60, 780, 2.928407, 0.048807
60, 780, 2.995904, 0.049932
60, 780, 3.057292, 0.050955
60, 780, 2.933114, 0.048885
60, 780, 2.999356, 0.049989
60, 780, 3.028253, 0.050471
60, 780, 3.028538, 0.050476
60, 780, 2.999806, 0.049997
60, 780, 3.028155, 0.050469
60, 780, 3.045202, 0.050753
60, 780, 3.041718, 0.050695
60, 780, 2.950575, 0.049176
60, 780, 3.074322, 0.051239
60, 780, 2.953973, 0.049233
60, 780, 3.023424, 0.050390
60, 780, 3.098061, 0.051634
60, 780, 3.102283, 0.051705
60, 780, 3.101224, 0.051687
60, 780, 3.034031, 0.050567
60, 780, 3.098575, 0.051643
60, 780, 3.102029, 0.051700
60, 780, 3.099651, 0.051661
60, 780, 3.099573, 0.051660
60, 780, 3.089735, 0.051496
60, 780, 3.115332, 0.051922
60, 780, 3.086241, 0.051437
60, 780, 3.119208, 0.051987
60, 780, 3.114672, 0.051911
60, 780, 3.120254, 0.052004
60, 780, 3.060600, 0.051010
60, 780, 3.121608, 0.052027
60, 780, 3.051245, 0.050854
60, 780, 3.072458, 0.051208
60, 780, 3.108845, 0.051814
60, 780, 3.059646, 0.050994
60, 780, 3.065878, 0.051098
60, 780, 3.067389, 0.051123
60, 780, 3.010671, 0.050178
60, 780, 3.139908, 0.052332
60, 780, 3.144028, 0.052400
60, 780, 3.141851, 0.052364
60, 780, 3.068313, 0.051139
60, 780, 3.144293, 0.052405
60, 780, 3.145782, 0.052430
60, 780, 3.152464, 0.052541
60, 780, 3.145750, 0.052429
60, 780, 3.145085, 0.052418
60, 780, 3.146382, 0.052440
60, 780, 3.152021, 0.052534
60, 780, 3.152181, 0.052536
60, 780, 3.150865, 0.052514
60, 780, 3.151074, 0.052518
60, 780, 3.124177, 0.052070
60, 780, 3.151653, 0.052528
60, 780, 3.083745, 0.051396
60, 780, 3.101817, 0.051697
60, 780, 3.084643, 0.051411
60, 780, 3.164423, 0.052740
60, 780, 2.774722, 0.046245
60, 780, 3.167899, 0.052798
60, 780, 2.751110, 0.045852
60, 780, 3.172652, 0.052878
60, 780, 3.177285, 0.052955
60, 780, 3.183756, 0.053063
60, 780, 3.189471, 0.053158
60, 780, 3.197935, 0.053299
60, 780, 3.198287, 0.053305
60, 780, 3.196965, 0.053283
60, 780, 3.192853, 0.053214
60, 780, 3.195895, 0.053265
60, 780, 2.825533, 0.047092
60, 780, 2.786259, 0.046438
60, 780, 2.809070, 0.046818
60, 780, 3.193866, 0.053231
60, 780, 3.193995, 0.053233
60, 780, 3.211726, 0.053529
60, 780, 2.780874, 0.046348
60, 780, 3.112128, 0.051869
60, 780, 2.782000, 0.046367
60, 780, 3.215850, 0.053597
60, 780, 3.218084, 0.053635
60, 780, 2.780029, 0.046334
60, 780, 3.218881, 0.053648
60, 780, 2.780363, 0.046339
60, 780, 2.829942, 0.047166
60, 780, 3.226759, 0.053779
60, 780, 2.853577, 0.047560
60, 780, 3.229260, 0.053821
60, 780, 2.833462, 0.047224
60, 780, 3.247454, 0.054124
60, 780, 2.816480, 0.046941
60, 780, 3.247656, 0.054128
60, 780, 3.247030, 0.054117
60, 780, 2.829476, 0.047158
60, 780, 2.817845, 0.046964
60, 780, 3.251043, 0.054184
60, 780, 3.123658, 0.052061
60, 780, 3.253141, 0.054219
60, 780, 3.256329, 0.054272
60, 780, 2.834874, 0.047248
60, 780, 3.268884, 0.054481
60, 780, 2.895426, 0.048257
60, 780, 3.019686, 0.050328
60, 780, 2.875856, 0.047931
60, 780, 3.204254, 0.053404
60, 780, 2.919563, 0.048659
60, 780, 2.892492, 0.048208
60, 780, 3.066099, 0.051102
60, 780, 3.053208, 0.050887
60, 780, 2.897503, 0.048292
60, 780, 2.947021, 0.049117
60, 780, 3.076644, 0.051277
60, 780, 3.275667, 0.054594
60, 780, 2.925945, 0.048766
60, 780, 3.330893, 0.055515
60, 780, 2.893331, 0.048222
60, 780, 2.862892, 0.047715
60, 780, 2.954039, 0.049234
60, 780, 3.330205, 0.055503
60, 780, 2.972533, 0.049542
60, 780, 3.076482, 0.051275
60, 780, 3.389012, 0.056484
60, 780, 3.447559, 0.057459
60, 780, 3.023761, 0.050396
60, 780, 3.063740, 0.051062
60, 780, 3.024599, 0.050410
60, 780, 3.454224, 0.057570
60, 780, 3.086136, 0.051436
60, 780, 3.456818, 0.057614
60, 780, 3.092976, 0.051550
60, 780, 3.431578, 0.057193
60, 780, 3.488899, 0.058148
60, 780, 3.489885, 0.058165
60, 780, 3.435082, 0.057251
60, 780, 3.445701, 0.057428
60, 780, 3.505071, 0.058418
60, 780, 3.514034, 0.058567
60, 780, 3.448814, 0.057480
60, 780, 3.498277, 0.058305
60, 780, 3.488451, 0.058141
60, 780, 3.516112, 0.058602
60, 780, 3.502804, 0.058380
60, 780, 3.547923, 0.059132
60, 780, 3.505273, 0.058421
60, 780, 3.304712, 0.055079
60, 780, 3.493831, 0.058231
60, 780, 3.516635, 0.058611
60, 780, 3.129510, 0.052159
60, 780, 3.556403, 0.059273
60, 780, 3.603811, 0.060064
60, 780, 3.362897, 0.056048
60, 780, 3.599888, 0.059998
60, 780, 3.337613, 0.055627
60, 780, 3.601289, 0.060021
60, 780, 3.533389, 0.058890
60, 780, 3.606483, 0.060108
60, 780, 3.608864, 0.060148
60, 780, 3.602483, 0.060041
60, 780, 3.350146, 0.055836
60, 780, 3.604592, 0.060077
60, 780, 3.615232, 0.060254
60, 780, 3.604650, 0.060077
60, 780, 3.592263, 0.059871
60, 780, 3.174548, 0.052909
60, 780, 3.616083, 0.060268
60, 780, 3.622784, 0.060380
60, 780, 3.635221, 0.060587
60, 780, 3.604266, 0.060071
60, 780, 3.206961, 0.053449
60, 780, 3.576192, 0.059603
60, 780, 3.244976, 0.054083
60, 780, 3.011544, 0.050192
60, 780, 3.635465, 0.060591
60, 780, 3.634346, 0.060572
60, 780, 3.638492, 0.060642
60, 780, 3.641961, 0.060699
60, 780, 3.643396, 0.060723
60, 780, 3.568061, 0.059468
60, 780, 3.035089, 0.050585
60, 780, 3.567584, 0.059460
60, 780, 3.579510, 0.059659
60, 780, 3.416108, 0.056935
60, 780, 3.110946, 0.051849
60, 780, 3.280469, 0.054674
60, 780, 3.580275, 0.059671
60, 780, 3.580699, 0.059678
60, 780, 3.644715, 0.060745
60, 780, 3.628328, 0.060472
60, 780, 3.637848, 0.060631
60, 780, 3.266354, 0.054439
60, 780, 3.580517, 0.059675
60, 780, 3.660932, 0.061016
60, 780, 3.642959, 0.060716
60, 780, 3.534284, 0.058905
60, 780, 3.587287, 0.059788
60, 780, 3.646175, 0.060770
60, 780, 3.064350, 0.051072
60, 780, 3.670888, 0.061181
60, 780, 3.642194, 0.060703
60, 780, 3.580138, 0.059669
60, 780, 3.670792, 0.061180
60, 780, 3.045187, 0.050753
60, 780, 3.670274, 0.061171
60, 780, 3.680084, 0.061335
60, 780, 3.610588, 0.060176
60, 780, 3.154972, 0.052583
60, 780, 3.678302, 0.061305
60, 780, 3.057181, 0.050953
60, 780, 3.612917, 0.060215
60, 780, 3.082581, 0.051376
60, 780, 3.637373, 0.060623
60, 780, 3.680438, 0.061341
60, 780, 3.615559, 0.060259
60, 780, 3.690016, 0.061500
60, 780, 3.676760, 0.061279
60, 780, 3.165018, 0.052750
60, 780, 3.692889, 0.061548
60, 780, 3.696033, 0.061601
60, 780, 3.232695, 0.053878
60, 780, 3.631752, 0.060529
60, 780, 3.595019, 0.059917
60, 780, 3.620723, 0.060345
60, 780, 3.611501, 0.060192
60, 780, 3.611515, 0.060192
