request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 13.032569, 0.217209
60, 780, 13.334611, 0.222244
60, 780, 12.594466, 0.209908
60, 780, 12.729543, 0.212159
60, 780, 14.050926, 0.234182
60, 780, 14.234467, 0.237241
60, 780, 12.508121, 0.208469
60, 780, 12.081958, 0.201366
60, 780, 14.643385, 0.244056
60, 780, 14.633178, 0.243886
60, 780, 14.380560, 0.239676
60, 780, 13.742015, 0.229034
60, 780, 13.961981, 0.232700
60, 780, 15.048420, 0.250807
60, 780, 14.516543, 0.241942
60, 780, 15.044279, 0.250738
60, 780, 14.074642, 0.234577
60, 780, 14.730158, 0.245503
60, 780, 16.144257, 0.269071
60, 780, 14.457336, 0.240956
60, 780, 15.555614, 0.259260
60, 780, 16.458513, 0.274309
60, 780, 16.145155, 0.269086
60, 780, 16.328436, 0.272141
60, 780, 16.267363, 0.271123
60, 780, 13.475442, 0.224591
60, 780, 16.313465, 0.271891
60, 780, 15.473195, 0.257887
60, 780, 16.369911, 0.272832
60, 780, 16.037569, 0.267293
60, 780, 15.275249, 0.254588
60, 780, 14.042980, 0.234050
60, 780, 15.997345, 0.266622
60, 780, 16.085638, 0.268094
60, 780, 15.101302, 0.251688
60, 780, 16.201571, 0.270026
60, 780, 16.657148, 0.277619
60, 780, 16.561403, 0.276023
60, 780, 16.697765, 0.278296
60, 780, 17.031612, 0.283860
60, 780, 14.681735, 0.244696
60, 780, 14.169491, 0.236158
60, 780, 15.803678, 0.263395
60, 780, 15.575500, 0.259592
60, 780, 16.078833, 0.267981
60, 780, 15.421013, 0.257017
60, 780, 16.372746, 0.272879
60, 780, 15.174218, 0.252904
60, 780, 16.976252, 0.282938
60, 780, 16.828426, 0.280474
60, 780, 16.545528, 0.275759
60, 780, 16.845137, 0.280752
60, 780, 12.148893, 0.202482
60, 780, 17.064402, 0.284407
60, 780, 16.279547, 0.271326
60, 780, 16.654663, 0.277578
60, 780, 16.011101, 0.266852
60, 780, 16.561607, 0.276027
60, 780, 14.830812, 0.247180
60, 780, 17.074852, 0.284581
60, 780, 15.860135, 0.264336
60, 780, 17.291382, 0.288190
60, 780, 17.176134, 0.286269
60, 780, 17.060253, 0.284338
60, 780, 16.212828, 0.270214
60, 780, 17.480852, 0.291348
60, 780, 17.495991, 0.291600
60, 780, 16.893826, 0.281564
60, 780, 17.435724, 0.290595
60, 780, 17.303036, 0.288384
60, 780, 17.298122, 0.288302
60, 780, 16.655445, 0.277591
60, 780, 15.958907, 0.265982
60, 780, 17.816746, 0.296946
60, 780, 17.469860, 0.291164
60, 780, 17.565947, 0.292766
60, 780, 15.763865, 0.262731
60, 780, 17.938715, 0.298979
60, 780, 17.352362, 0.289206
60, 780, 17.760063, 0.296001
60, 780, 17.997780, 0.299963
60, 780, 17.799990, 0.296667
60, 780, 18.381044, 0.306351
60, 780, 15.891628, 0.264860
60, 780, 16.547405, 0.275790
60, 780, 17.759300, 0.295988
60, 780, 18.460255, 0.307671
60, 780, 18.125965, 0.302099
60, 780, 18.083677, 0.301395
60, 780, 18.226547, 0.303776
60, 780, 18.179129, 0.302985
60, 780, 17.966932, 0.299449
60, 780, 18.737055, 0.312284
60, 780, 18.630575, 0.310510
60, 780, 18.023703, 0.300395
60, 780, 16.993004, 0.283217
60, 780, 18.250444, 0.304174
60, 780, 18.548483, 0.309141
60, 780, 18.659437, 0.310991
60, 780, 18.550066, 0.309168
60, 780, 18.725273, 0.312088
60, 780, 17.983385, 0.299723
60, 780, 17.649515, 0.294159
60, 780, 17.199879, 0.286665
60, 780, 18.098377, 0.301640
60, 780, 17.611629, 0.293527
60, 780, 18.856878, 0.314281
60, 780, 18.731110, 0.312185
60, 780, 18.071074, 0.301185
60, 780, 17.863953, 0.297733
60, 780, 18.717625, 0.311960
60, 780, 17.259005, 0.287650
60, 780, 18.521502, 0.308692
60, 780, 18.112829, 0.301880
60, 780, 17.424402, 0.290407
60, 780, 17.004398, 0.283407
60, 780, 19.141216, 0.319020
60, 780, 18.252653, 0.304211
60, 780, 19.214184, 0.320236
60, 780, 19.104712, 0.318412
60, 780, 19.074596, 0.317910
60, 780, 17.497993, 0.291633
60, 780, 19.004396, 0.316740
60, 780, 19.313910, 0.321898
60, 780, 18.073092, 0.301218
60, 780, 18.106634, 0.301777
60, 780, 19.538504, 0.325642
60, 780, 17.545370, 0.292423
