request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 8.149997, 0.135833
60, 780, 7.988710, 0.133145
60, 780, 8.187850, 0.136464
60, 780, 8.321492, 0.138692
60, 780, 7.892847, 0.131547
60, 780, 8.212235, 0.136871
60, 780, 8.200878, 0.136681
60, 780, 7.928303, 0.132138
60, 780, 7.827165, 0.130453
60, 780, 8.094850, 0.134914
60, 780, 7.925627, 0.132094
60, 780, 7.498922, 0.124982
60, 780, 7.899298, 0.131655
60, 780, 8.170157, 0.136169
60, 780, 7.829409, 0.130490
60, 780, 8.152328, 0.135872
60, 780, 7.941035, 0.132351
60, 780, 7.826101, 0.130435
60, 780, 8.303474, 0.138391
60, 780, 7.856536, 0.130942
60, 780, 8.229906, 0.137165
60, 780, 7.626142, 0.127102
60, 780, 7.892790, 0.131546
60, 780, 7.238074, 0.120635
60, 780, 7.763217, 0.129387
60, 780, 7.884846, 0.131414
60, 780, 7.688457, 0.128141
60, 780, 8.203082, 0.136718
60, 780, 8.174568, 0.136243
60, 780, 8.142811, 0.135714
60, 780, 8.090012, 0.134834
60, 780, 8.173043, 0.136217
60, 780, 7.731714, 0.128862
60, 780, 8.015752, 0.133596
60, 780, 7.849020, 0.130817
60, 780, 8.317396, 0.138623
60, 780, 7.462556, 0.124376
60, 780, 7.334578, 0.122243
60, 780, 7.873460, 0.131224
60, 780, 7.846366, 0.130773
60, 780, 8.293085, 0.138218
60, 780, 7.672686, 0.127878
60, 780, 8.190449, 0.136507
60, 780, 7.863493, 0.131058
60, 780, 7.866050, 0.131101
60, 780, 8.340780, 0.139013
60, 780, 8.335744, 0.138929
60, 780, 7.665436, 0.127757
60, 780, 8.191439, 0.136524
60, 780, 8.164022, 0.136067
60, 780, 8.121540, 0.135359
60, 780, 7.926265, 0.132104
60, 780, 8.174211, 0.136237
60, 780, 7.988976, 0.133150
60, 780, 8.217996, 0.136967
60, 780, 8.191038, 0.136517
60, 780, 8.400909, 0.140015
60, 780, 7.950776, 0.132513
60, 780, 8.377669, 0.139628
60, 780, 8.367735, 0.139462
60, 780, 8.363490, 0.139391
60, 780, 7.744796, 0.129080
60, 780, 7.894392, 0.131573
60, 780, 7.921553, 0.132026
60, 780, 8.244310, 0.137405
60, 780, 8.394868, 0.139914
60, 780, 7.745192, 0.129087
60, 780, 7.628946, 0.127149
60, 780, 8.257186, 0.137620
60, 780, 8.407454, 0.140124
60, 780, 7.888701, 0.131478
60, 780, 7.593801, 0.126563
60, 780, 8.263614, 0.137727
60, 780, 8.334919, 0.138915
60, 780, 7.810201, 0.130170
60, 780, 7.581470, 0.126358
60, 780, 7.711756, 0.128529
60, 780, 8.102882, 0.135048
60, 780, 7.697398, 0.128290
60, 780, 8.273418, 0.137890
60, 780, 7.770364, 0.129506
60, 780, 8.271873, 0.137865
60, 780, 8.261899, 0.137698
60, 780, 8.270540, 0.137842
60, 780, 8.736681, 0.145611
60, 780, 8.575092, 0.142918
60, 780, 8.617021, 0.143617
60, 780, 8.634027, 0.143900
60, 780, 8.077304, 0.134622
60, 780, 8.574639, 0.142911
60, 780, 8.578385, 0.142973
60, 780, 8.640840, 0.144014
60, 780, 8.331167, 0.138853
60, 780, 8.302631, 0.138377
60, 780, 8.726401, 0.145440
60, 780, 8.093931, 0.134899
60, 780, 8.124391, 0.135407
60, 780, 8.537599, 0.142293
60, 780, 8.535696, 0.142262
60, 780, 7.868288, 0.131138
60, 780, 8.301410, 0.138357
60, 780, 8.253275, 0.137555
60, 780, 8.018668, 0.133644
60, 780, 8.599957, 0.143333
60, 780, 8.133478, 0.135558
60, 780, 7.611606, 0.126860
60, 780, 8.742602, 0.145710
60, 780, 8.624457, 0.143741
60, 780, 8.542610, 0.142377
60, 780, 8.780650, 0.146344
60, 780, 8.867180, 0.147786
60, 780, 8.417198, 0.140287
60, 780, 8.582529, 0.143042
60, 780, 8.757276, 0.145955
60, 780, 8.873888, 0.147898
60, 780, 8.759557, 0.145993
60, 780, 8.864799, 0.147747
60, 780, 8.589286, 0.143155
60, 780, 8.541228, 0.142354
60, 780, 8.429998, 0.140500
60, 780, 8.922129, 0.148702
60, 780, 8.912689, 0.148545
60, 780, 8.507215, 0.141787
60, 780, 8.764756, 0.146079
60, 780, 8.611805, 0.143530
60, 780, 8.698998, 0.144983
60, 780, 8.916128, 0.148602
60, 780, 8.429186, 0.140486
60, 780, 8.560072, 0.142668
60, 780, 8.791311, 0.146522
60, 780, 8.703229, 0.145054
60, 780, 8.131881, 0.135531
60, 780, 8.255453, 0.137591
60, 780, 8.757161, 0.145953
60, 780, 8.764073, 0.146068
60, 780, 8.763317, 0.146055
60, 780, 8.835583, 0.147260
60, 780, 8.501307, 0.141688
60, 780, 8.987636, 0.149794
60, 780, 8.594182, 0.143236
60, 780, 8.837053, 0.147284
60, 780, 8.335404, 0.138923
60, 780, 8.523404, 0.142057
60, 780, 8.935822, 0.148930
60, 780, 8.557548, 0.142626
60, 780, 8.927638, 0.148794
60, 780, 8.602603, 0.143377
60, 780, 9.046232, 0.150771
60, 780, 9.027229, 0.150454
60, 780, 8.748417, 0.145807
60, 780, 8.760468, 0.146008
60, 780, 8.926592, 0.148777
60, 780, 8.822734, 0.147046
60, 780, 9.025078, 0.150418
60, 780, 8.672342, 0.144539
60, 780, 9.001404, 0.150023
60, 780, 8.240747, 0.137346
60, 780, 8.541763, 0.142363
60, 780, 8.203317, 0.136722
60, 780, 8.857362, 0.147623
60, 780, 8.573646, 0.142894
60, 780, 8.937534, 0.148959
60, 780, 8.548903, 0.142482
60, 780, 8.565225, 0.142754
60, 780, 9.016002, 0.150267
60, 780, 8.680203, 0.144670
60, 780, 8.777915, 0.146299
60, 780, 8.325727, 0.138762
60, 780, 8.909524, 0.148492
60, 780, 8.351958, 0.139199
60, 780, 8.627781, 0.143796
60, 780, 8.875319, 0.147922
60, 780, 8.610306, 0.143505
60, 780, 8.840510, 0.147342
60, 780, 8.592084, 0.143201
60, 780, 8.905191, 0.148420
60, 780, 8.829246, 0.147154
60, 780, 8.645307, 0.144088
60, 780, 8.970773, 0.149513
60, 780, 8.924775, 0.148746
60, 780, 8.701045, 0.145017
60, 780, 8.139614, 0.135660
60, 780, 8.656994, 0.144283
60, 780, 8.971354, 0.149523
60, 780, 8.595873, 0.143265
60, 780, 8.972181, 0.149536
60, 780, 8.583809, 0.143063
60, 780, 8.694014, 0.144900
60, 780, 8.849463, 0.147491
60, 780, 8.910691, 0.148512
60, 780, 8.006736, 0.133446
60, 780, 8.543522, 0.142392
60, 780, 8.922489, 0.148708
60, 780, 8.310080, 0.138501
60, 780, 8.270616, 0.137844
60, 780, 8.311513, 0.138525
60, 780, 8.969507, 0.149492
60, 780, 8.648250, 0.144137
60, 780, 8.376863, 0.139614
60, 780, 8.764172, 0.146070
60, 780, 8.598595, 0.143310
60, 780, 8.599521, 0.143325
60, 780, 8.277399, 0.137957
60, 780, 8.640594, 0.144010
60, 780, 9.084656, 0.151411
60, 780, 8.758579, 0.145976
60, 780, 9.062833, 0.151047
60, 780, 8.453197, 0.140887
60, 780, 9.049115, 0.150819
60, 780, 8.706677, 0.145111
60, 780, 8.662755, 0.144379
60, 780, 8.922523, 0.148709
60, 780, 8.374435, 0.139574
60, 780, 8.936186, 0.148936
60, 780, 8.449263, 0.140821
60, 780, 8.724340, 0.145406
60, 780, 8.926782, 0.148780
60, 780, 8.938101, 0.148968
60, 780, 8.547061, 0.142451
60, 780, 9.057525, 0.150959
60, 780, 8.884072, 0.148068
60, 780, 9.136065, 0.152268
60, 780, 9.082796, 0.151380
60, 780, 8.906425, 0.148440
60, 780, 9.081826, 0.151364
60, 780, 8.527855, 0.142131
60, 780, 8.383188, 0.139720
60, 780, 9.014066, 0.150234
60, 780, 9.085631, 0.151427
60, 780, 9.081888, 0.151365
60, 780, 9.227737, 0.153796
60, 780, 8.744661, 0.145744
60, 780, 9.074286, 0.151238
60, 780, 9.020575, 0.150343
60, 780, 8.929316, 0.148822
60, 780, 9.059428, 0.150990
60, 780, 8.562780, 0.142713
60, 780, 9.235249, 0.153921
60, 780, 8.453037, 0.140884
60, 780, 8.361606, 0.139360
60, 780, 8.363029, 0.139384
60, 780, 9.114948, 0.151916
60, 780, 9.148039, 0.152467
60, 780, 8.886636, 0.148111
60, 780, 9.103829, 0.151730
60, 780, 8.778706, 0.146312
60, 780, 8.509088, 0.141818
