request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 35.789860, 0.596498
60, 780, 36.478611, 0.607977
60, 780, 36.158329, 0.602639
60, 780, 36.346684, 0.605778
60, 780, 36.236187, 0.603936
60, 780, 37.452824, 0.624214
60, 780, 37.245693, 0.620762
60, 780, 37.347927, 0.622465
60, 780, 37.420807, 0.623680
60, 780, 37.477440, 0.624624
60, 780, 37.613277, 0.626888
60, 780, 37.843830, 0.630731
60, 780, 37.979782, 0.632996
60, 780, 38.036411, 0.633940
60, 780, 36.687794, 0.611463
60, 780, 37.805683, 0.630095
60, 780, 35.299973, 0.588333
60, 780, 35.774746, 0.596246
60, 780, 38.713642, 0.645227
60, 780, 38.828014, 0.647134
60, 780, 38.363792, 0.639397
60, 780, 36.319878, 0.605331
60, 780, 38.611744, 0.643529
60, 780, 36.285934, 0.604766
60, 780, 37.585785, 0.626430
60, 780, 39.259895, 0.654332
60, 780, 37.037895, 0.617298
60, 780, 39.303638, 0.655061
60, 780, 39.256817, 0.654280
60, 780, 38.081139, 0.634686
60, 780, 37.523399, 0.625390
60, 780, 36.260376, 0.604340
60, 780, 38.172409, 0.636207
60, 780, 36.709007, 0.611817
60, 780, 39.074066, 0.651234
60, 780, 39.644165, 0.660736
60, 780, 38.332539, 0.638876
60, 780, 38.283577, 0.638060
60, 780, 38.365398, 0.639423
60, 780, 39.036854, 0.650614
60, 780, 40.379223, 0.672987
60, 780, 40.217739, 0.670296
60, 780, 38.713760, 0.645229
60, 780, 35.994274, 0.599905
60, 780, 39.875034, 0.664584
60, 780, 38.745457, 0.645758
60, 780, 38.897007, 0.648283
60, 780, 40.100777, 0.668346
60, 780, 38.991768, 0.649863
60, 780, 39.583099, 0.659718
60, 780, 38.589352, 0.643156
60, 780, 39.068405, 0.651140
60, 780, 38.016605, 0.633610
60, 780, 40.568501, 0.676142
60, 780, 39.832584, 0.663876
60, 780, 35.894440, 0.598241
60, 780, 39.901505, 0.665025
60, 780, 36.934971, 0.615583
60, 780, 39.519382, 0.658656
60, 780, 37.786602, 0.629777
60, 780, 39.655586, 0.660926
60, 780, 37.228256, 0.620471
60, 780, 41.233315, 0.687222
60, 780, 39.467312, 0.657789
60, 780, 38.516872, 0.641948
60, 780, 35.863243, 0.597721
60, 780, 40.296947, 0.671616
60, 780, 39.205082, 0.653418
60, 780, 39.812183, 0.663536
60, 780, 40.689655, 0.678161
60, 780, 40.279510, 0.671325
60, 780, 39.652065, 0.660868
60, 780, 38.639076, 0.643985
60, 780, 39.126842, 0.652114
60, 780, 39.273327, 0.654555
60, 780, 40.060707, 0.667678
60, 780, 41.291431, 0.688191
60, 780, 38.213627, 0.636894
60, 780, 41.078045, 0.684634
60, 780, 40.197243, 0.669954
60, 780, 41.468040, 0.691134
60, 780, 41.716446, 0.695274
60, 780, 40.110683, 0.668511
60, 780, 40.235020, 0.670584
60, 780, 36.539246, 0.608987
60, 780, 41.204834, 0.686747
60, 780, 39.593304, 0.659888
60, 780, 41.376621, 0.689610
60, 780, 38.993835, 0.649897
60, 780, 40.399487, 0.673325
60, 780, 40.036201, 0.667270
60, 780, 41.044407, 0.684073
60, 780, 40.373741, 0.672896
60, 780, 39.939526, 0.665659
60, 780, 41.780994, 0.696350
60, 780, 41.240425, 0.687340
60, 780, 39.333630, 0.655560
60, 780, 41.919323, 0.698655
60, 780, 42.187710, 0.703129
60, 780, 40.966270, 0.682771
60, 780, 40.466187, 0.674436
60, 780, 38.356163, 0.639269
60, 780, 41.521271, 0.692021
60, 780, 41.250481, 0.687508
60, 780, 41.573879, 0.692898
60, 780, 40.070496, 0.667842
60, 780, 41.184895, 0.686415
60, 780, 40.307766, 0.671796
60, 780, 42.316242, 0.705271
60, 780, 41.147030, 0.685784
60, 780, 41.697067, 0.694951
60, 780, 41.169590, 0.686160
60, 780, 41.691051, 0.694851
60, 780, 40.043037, 0.667384
60, 780, 41.118244, 0.685304
60, 780, 41.492867, 0.691548
60, 780, 40.392536, 0.673209
60, 780, 42.477245, 0.707954
60, 780, 41.212536, 0.686876
60, 780, 40.427128, 0.673785
60, 780, 42.551498, 0.709192
60, 780, 38.526909, 0.642115
60, 780, 42.356598, 0.705943
60, 780, 42.661209, 0.711020
60, 780, 42.577213, 0.709620
60, 780, 42.719902, 0.711998
60, 780, 42.765850, 0.712764
60, 780, 38.649776, 0.644163
60, 780, 42.898827, 0.714980
60, 780, 42.941540, 0.715692
60, 780, 41.118408, 0.685307
60, 780, 42.532917, 0.708882
60, 780, 41.480873, 0.691348
60, 780, 40.790997, 0.679850
60, 780, 41.235092, 0.687252
60, 780, 43.114796, 0.718580
60, 780, 37.365250, 0.622754
60, 780, 39.076027, 0.651267
60, 780, 43.144356, 0.719073
60, 780, 41.883228, 0.698054
60, 780, 38.448288, 0.640805
60, 780, 42.878120, 0.714635
60, 780, 42.958744, 0.715979
60, 780, 40.379848, 0.672997
60, 780, 43.119709, 0.718662
60, 780, 39.718594, 0.661977
60, 780, 40.997936, 0.683299
60, 780, 43.684258, 0.728071
60, 780, 39.523323, 0.658722
60, 780, 43.056362, 0.717606
60, 780, 40.822803, 0.680380
60, 780, 43.340477, 0.722341
60, 780, 42.110905, 0.701848
60, 780, 43.074924, 0.717915
60, 780, 41.000317, 0.683339
60, 780, 43.300674, 0.721678
60, 780, 40.969887, 0.682831
60, 780, 44.046745, 0.734112
60, 780, 39.285591, 0.654760
60, 780, 43.235073, 0.720585
60, 780, 38.251915, 0.637532
60, 780, 43.541924, 0.725699
60, 780, 43.288219, 0.721470
60, 780, 41.964859, 0.699414
60, 780, 41.953342, 0.699222
60, 780, 41.243233, 0.687387
60, 780, 43.263397, 0.721057
60, 780, 43.528263, 0.725471
60, 780, 43.957378, 0.732623
60, 780, 44.275532, 0.737926
60, 780, 44.490597, 0.741510
60, 780, 43.590973, 0.726516
60, 780, 44.312489, 0.738541
60, 780, 42.326733, 0.705446
60, 780, 40.304516, 0.671742
60, 780, 40.389320, 0.673155
60, 780, 43.134998, 0.718917
